车型加价提车ID,车型加价编号,车品牌,父ID,车型加价名称,车型加价费用,层级
236,,SLK,7
237,,S ,7
238,,乐驰,8
239,,宝骏330,8
240,,宝骏610,8
241,,宝骏630,8
242,,宝骏560,8
243,,宝骏730,8
244,,2系,9
245,,3系,9
246,,5系,9
247,,X1,9
248,,i3,10
249,,1系,10
250,,3系,10
251,,3系GT,10
252,,4系,10
253,,5系,10
254,,5系GT,10
255,,6系,10
256,,7系,10
257,,X3,10
258,,X4,10
259,,X5,10
260,,X6,10
261,,2系多功能旅行车,10
262,,2系,10
263,,i8,10
264,,Z4,10
265,,2系旅行车（进口）,10
266,,M3,11
267,,M4,11
268,,M5,11
269,,M6,11
270,,X5M,11
271,,X6M,11
272,,M2,11
273,,BX7,12
274,,卡宴,13
275,,Panamera,13
276,,Macan,13
277,,Cayman ,13
278,,Boxste,13
279,,918,13
280,,911,13
281,,北京40,14
282,,北京80,14
283,,H2,15
284,,H3,15
285,,S6,15
286,,S3,15
287,,S2,15
288,,H6,15
289,,H2V,15
290,,H3F,15
291,,绅宝D20,16
292,,绅宝CC,16
293,,绅宝D50,16
294,,绅宝D60,16
295,,绅宝D70,16
296,,绅宝D80 ,16
297,,绅宝X25,16
298,,绅宝X55,16
299,,绅宝C65,16
300,,北汽威旺S50,17
301,,北汽威旺306,17
302,,北汽威旺307,17
303,,北汽威旺M20,17
304,,北汽威旺M30,17
305,,北汽威旺M35,17
306,,北汽威旺T205-D,17
307,,北汽007,17
308,,战旗,18
309,,BJ212,18
310,,北京BW007,18
311,,勇士,18
312,,陆霸,18
313,,越铃,18
314,,战旗皮卡,18
315,,EV系列,19
316,,EU系列,19
317,,ES210,19
318,,EX200,19
319,,C级,20
320,,E级,20
321,,GLA,20
322,,GLC,20
323,,GLK,20
324,,V级,21
325,,威霆,21
326,,唯雅诺,21
327,,凌特,21
328,,A级,22
329,,B级,22
330,,CLA,22
331,,C级(进口）,22
332,,E级（进口）,22
333,,S级,22
334,,GLE,22
335,,G级,22
336,,GLS,22
337,,GL,22
338,,R级,22
339,,SLK,22
340,,SL,22
341,,GLA(进口）,22
342,,M级,22
343,,AMG-A级,23
344,,AMG-GLA级,23
345,,AMG-C级,23
346,,AMG-GLS级,23
347,,AMG-S级,23
348,,AMG-M级,23
349,,AMG-GLE,23
350,,AMG-GLS ,23
351,,AMG-GL,23
352,,AMG-SL,23
353,,AMG-GT,23
354,,AMG-SLS,23
355,,迈巴赫S级,23
356,,B70 ,24
357,,B50 ,24
358,,B30,24
359,,B90,24
360,,X80,24
361,,锋范,25
362,,飞度,25
363,,凌派,25
364,,歌诗图,25
365,,缤智,25
366,,雅阁,25
367,,奥德赛,25
368,,锋范经典,25
369,,飞度,26
370,,INSIGHT,26
371,,CR-Z,26
372,,思铂睿 ,27
373,,杰德,27
374,,哥瑞,27
375,,XR-V,27
376,,艾力绅,27
377,,思域,27
378,,CR-V  ,27
379,,比亚迪M6,28
380,,S8,28
381,,G3,28
382,,F6,28
383,,F3 ,28
384,,F0,28
385,,E5,28
386,,G5,28
387,,L3,28
388,,秦,28
389,,速锐,28
390,,G6,28
391,,思锐,28
392,,元,28
393,,宋,28
394,,S6,28
395,,S7,28
396,,E6,28
397,,M6,28
398,,301,29
399,,308,29
400,,308S,29
401,,408,29
402,,508,29
403,,2008,29
404,,3008,29
405,,4008,30
406,,RCZ,30
407,,标致607,30
408,,标致407,30
409,,标致308,30
410,,标致207 ,30
411,,标致206,30
412,,昂科雷,30
413,,凯越,31
414,,君越,31
415,,君威,31
416,,英朗,31
417,,威朗,31
418,,昂科拉,31
419,,昂科威,31
420,,GL8,31
421,,荣御,31
422,,林荫大道,31
423,,慕尚,32
424,,欧陆,32
425,,飞驰,32
426,,添越,32
427,,雅致 ,32
428,,威航 ,33
429,,福瑞达,34
430,,爱迪尔,34
431,,Q25,34
432,,福瑞达M50,34
433,,富运,34
434,,奔奔,35
435,,长安CX20,35
436,,悦翔V5,35
437,,悦翔V3,35
438,,逸动,35
439,,悦翔V7,35
440,,长安CS35,35
441,,长安CS75,35
442,,长安CS15,35
443,,杰勋,35
444,,奔奔MINI,35
445,,奔奔LOVE,35
446,,奔奔i,35
447,,志翔,35
448,,悦翔,35
449,,CX30 ,35
450,,V5,35
451,,CX70,35
452,,欧尚,35
453,,长安之星,35
454,,长安之星2,35
455,,长安之星3,35
456,,长安之星7,35
457,,长安之星9,35
458,,欧诺,35
459,,长安星卡,35
460,,金牛星,35
461,,神骐T20,35
462,,睿行,35
463,,睿行M90,35
464,,遵行,35
465,,神骐F30,35
466,,神骐F50 ,35
467,,长安之星1,35
468,,酷熊,36
469,,精灵 ,36
470,,C20R,36
471,,M2,36
472,,C30,36
473,,C50,36
474,,风骏5,36
475,,风骏6,36
476,,长城M4,36
477,,嘉誉,36
478,,风骏 ,36
479,,炫丽 ,36
480,,腾翼C30,36
481,,赛弗,36
482,,赛影,36
483,,凌傲,36
484,,V2,37
485,,K1,37
486,,K2,37
487,,X1,37
488,,长安标致雪铁龙DS S4,38
489,,长安标致雪铁龙DS 5LS,38
490,,长安标致雪铁龙DS5,38
491,,长安标致雪铁龙DS6 ,38
492,,雪铁龙（进口）DS3,38
493,,雪铁龙（进口）DS4,38
494,,雪铁龙（进口）DS5,38
495,,辉昂,39
496,,POLO ,39
497,,PASSAT领驭,39
498,,途观,39
499,,途安,39
500,,桑塔纳志俊,39
501,,桑塔纳 ,39
502,,朗逸,39
503,,朗行,39
504,,凌渡,39
505,,帕萨特,39
506,,朗境,39
507,,开迪,40
508,,捷达,40
509,,高尔夫,40
510,,宝来,40
511,,一汽大众CC,40
512,,速腾,40
513,,新宝来,40
514,,迈腾 ,40
515,,甲壳虫 ,41
516,,辉腾,41
517,,高尔夫 ,41
518,,大众CC,41
519,,Tiguan,41
520,,PASSAT,41
521,,Multivan ,41
522,,途锐,41
523,,EOS,41
524,,尚酷 ,41
525,,UP!,41
526,,蔚揽,41
527,,夏朗,41
528,,凯路威,41
529,,凯领  ,42
530,,酷搏,42
531,,Dart,42
532,,锋哲,42
533,,Charger,42
534,,挑战者,42
535,,翼龙,42
536,,Circuit EV,42
537,,Rampage,42
538,,D100,42
539,,M80,42
540,,蜂蛇,42
541,,挑战者SRT,42
542,,酷威,42
543,,Ram,42
544,,锋哲 ,42
545,,汗马,43
546,,御风,43
547,,皮卡,43
548,,俊风CV03,43
549,,虎视,43
550,,风度MX5 ,44
551,,风度MX6,44
552,,C35,45
553,,C36,45
554,,C37,45
555,,K07,45
556,,K07Ⅱ,45
557,,K07S,45
558,,K17,45
559,,V07S,45
560,,V29,45
561,,C31,45
562,,C32,45
563,,K01 ,45
564,,K02,45
565,,V21,45
566,,V22,45
567,,风神S30,46
568,,风神H30  ,46
569,,风神A60,46
570,,风神A30,46
571,,风神L60,46
572,,风神AX3,46
573,,风神AX7,46
574,,风神AX5,46
575,,A9,46
576,,风光580,47
577,,风光360,47
578,,风光370,47
579,,风光330 ,47
580,,风光350,47
581,,风行SX6,48
582,,景逸,48
583,,景逸S50,48
584,,景逸X3,48
585,,景逸X5,48
586,,风行,48
587,,凌志,48
588,,V3菱悦,49
589,,V5菱致,49
590,,V6菱仕,49
591,,东南DX7,49
592,,希旺,49
